day_of_week,hour_of_day,category,items_count
0,12,refrigerated,48
0,13,packaged cheese,135
0,13,soy lactosefree,45
0,12,prepared meals,18
0,11,soft drinks,18
0,10,indian foods,3
0,17,canned jarred vegetables,18
0,9,baby food formula,9
0,8,popcorn jerky,9
0,10,beers coolers,3
1,16,vitamins supplements,9
1,23,water seltzer sparkling water,6
2,11,soup broth bouillon,18
2,18,missing,12
2,9,vitamins supplements,6
3,11,oils vinegars,8
3,20,packaged vegetables fruits,42
3,16,meat counter,4
3,22,refrigerated pudding desserts,4
3,11,doughs gelatins bake mixes,2
3,5,ice cream ice,2
0,18,cereal,18
0,14,latino foods,12
0,11,asian foods,21
0,13,latino foods,3
0,7,popcorn jerky,3
0,6,meat counter,6
1,15,latino foods,3
1,14,doughs gelatins bake mixes,6
1,21,hair care,3
1,12,tofu meat alternatives,3
2,18,canned meals beans,21
2,22,instant foods,3
2,20,ice cream ice,9
2,9,cereal,6
2,15,paper goods,18
2,8,spreads,15
2,5,breakfast bars pastries,6
2,9,pickled goods olives,6
2,12,baby food formula,6
3,16,soy lactosefree,16
3,10,ice cream ice,18
0,13,coffee,30
0,9,oils vinegars,30
0,9,hot dogs bacon sausage,15
0,10,soft drinks,9
0,17,prepared soups salads,12
0,21,soft drinks,3
0,23,poultry counter,3
1,22,yogurt,18
1,18,oils vinegars,12
1,13,dog food care,9
1,8,cat food care,63
1,11,juice nectars,6
2,12,preserved dips spreads,9
2,12,yogurt,36
2,11,fresh vegetables,60
2,12,asian foods,9
2,10,hot dogs bacon sausage,15
2,21,paper goods,6
2,18,cleaning products,3
3,7,fresh vegetables,28
3,12,lunch meat,10
3,16,pasta sauce,4
3,13,beauty,2
0,15,packaged vegetables fruits,195
0,1,packaged vegetables fruits,18
0,16,cookies cakes,12
0,21,condiments,3
0,14,baby food formula,6
0,20,cream,3
0,17,dish detergents,9
0,16,trail mix snack mix,3
0,23,missing,9
0,19,hair care,6
1,15,soft drinks,24
1,16,frozen appetizers sides,15
1,21,packaged produce,6
1,15,cereal,18
1,7,canned fruit applesauce,9
1,5,frozen produce,6
1,15,cookies cakes,9
1,16,butter,6
1,8,tortillas flat bread,6
1,12,skin care,3
2,15,soup broth bouillon,33
2,16,indian foods,3
2,15,instant foods,9
2,11,cocoa drink mixes,12
2,12,food storage,3
3,12,milk,20
3,5,paper goods,2
3,2,butter,2
0,16,milk,93
0,12,vitamins supplements,3
0,15,pasta sauce,27
0,16,air fresheners candles,9
0,12,baby accessories,3
0,15,hot cereal pancake mixes,6
0,18,salad dressing toppings,3
0,11,baby accessories,3
1,13,packaged poultry,9
1,7,milk,21
1,8,frozen meals,9
1,6,packaged produce,6
2,9,soft drinks,24
2,12,packaged cheese,48
2,11,grains rice dried goods,12
2,7,fresh vegetables,57
2,17,laundry,3
2,17,instant foods,9
2,21,oils vinegars,3
2,18,refrigerated pudding desserts,6
2,4,milk,6
2,15,white wines,3
3,16,baking ingredients,20
3,15,feminine care,4
3,2,eggs,4
3,20,canned jarred vegetables,8
3,19,cream,2
3,14,baking ingredients,4
0,17,hot cereal pancake mixes,3
0,19,energy granola bars,24
0,13,ice cream ice,54
0,14,chips pretzels,72
0,21,fruit vegetable snacks,9
0,11,candy chocolate,15
0,19,preserved dips spreads,6
0,19,nuts seeds dried fruit,6
1,21,fresh vegetables,96
1,21,grains rice dried goods,12
1,5,fresh vegetables,15
1,11,frozen breakfast,9
1,17,frozen appetizers sides,9
1,14,canned fruit applesauce,9
1,19,spreads,3
1,12,missing,9
1,12,cocoa drink mixes,3
2,15,fresh vegetables,132
2,15,packaged cheese,45
2,9,popcorn jerky,21
2,11,refrigerated,36
2,11,frozen pizza,3
2,9,fruit vegetable snacks,6
2,20,soup broth bouillon,9
2,8,milk,24
2,10,plates bowls cups flatware,3
2,7,frozen meat seafood,6
2,16,cereal,6
2,1,ice cream ice,6
2,4,frozen breakfast,12
3,17,pickled goods olives,4
3,19,packaged seafood,2
3,16,cereal,12
0,13,spreads,24
0,22,paper goods,9
0,12,soft drinks,27
0,10,frozen meals,36
0,9,fresh dips tapenades,45
0,8,refrigerated,39
0,11,canned meat seafood,3
0,14,baking ingredients,27
0,18,muscles joints pain relief,3
0,12,laundry,18
0,22,baby food formula,24
0,23,plates bowls cups flatware,3
0,9,oral hygiene,3
1,17,fresh dips tapenades,15
1,9,condiments,12
1,22,packaged vegetables fruits,15
1,14,oils vinegars,15
1,11,instant foods,6
1,8,deodorants,3
1,9,cream,12
1,16,cold flu allergy,18
1,17,dish detergents,3
2,10,frozen produce,21
2,20,water seltzer sparkling water,12
2,17,condiments,15
2,10,dry pasta,12
2,5,frozen appetizers sides,3
3,15,spices seasonings,6
3,13,soup broth bouillon,24
3,9,bread,10
3,10,chips pretzels,20
3,17,frozen produce,24
3,19,spreads,6
3,8,cookies cakes,6
3,15,pickled goods olives,4
0,15,refrigerated,42
0,19,cereal,12
0,23,chips pretzels,12
0,6,hot dogs bacon sausage,6
0,20,ice cream toppings,3
0,14,plates bowls cups flatware,3
0,6,tortillas flat bread,3
1,16,pasta sauce,27
1,17,baby food formula,3
1,20,canned jarred vegetables,3
1,7,paper goods,3
2,13,latino foods,3
2,20,baking ingredients,6
2,23,hot dogs bacon sausage,3
2,9,honeys syrups nectars,3
3,23,frozen meals,14
3,6,juice nectars,2
3,7,water seltzer sparkling water,16
3,12,soap,2
3,17,hot cereal pancake mixes,2
0,15,dry pasta,27
0,10,protein meal replacements,3
0,20,canned jarred vegetables,6
0,17,spreads,24
0,15,preserved dips spreads,3
0,8,canned jarred vegetables,3
0,22,hot dogs bacon sausage,3
1,9,frozen appetizers sides,15
1,18,other,3
1,19,cereal,21
1,22,lunch meat,9
1,10,oils vinegars,6
1,7,body lotions soap,6
1,8,instant foods,3
1,20,frozen appetizers sides,6
1,8,pasta sauce,3
1,0,fresh herbs,3
2,12,dry pasta,6
2,11,fresh fruits,123
2,11,packaged poultry,3
2,13,fresh dips tapenades,27
2,7,popcorn jerky,3
2,10,fresh herbs,30
2,17,food storage,6
2,17,mint gum,3
2,2,lunch meat,3
2,5,coffee,3
2,10,trail mix snack mix,3
2,8,canned jarred vegetables,6
3,13,spices seasonings,4
3,23,nuts seeds dried fruit,2
3,14,packaged vegetables fruits,34
3,15,asian foods,2
3,14,eggs,14
3,19,granola,2
3,8,ice cream ice,6
3,18,body lotions soap,4
3,14,energy sports drinks,8
3,7,canned jarred vegetables,4
3,21,oils vinegars,4
3,13,buns rolls,2
3,12,diapers wipes,4
3,17,hot dogs bacon sausage,6
3,12,canned fruit applesauce,2
0,16,soy lactosefree,60
0,0,candy chocolate,3
0,13,packaged produce,45
0,12,nuts seeds dried fruit,18
0,12,paper goods,27
1,15,soy lactosefree,45
1,22,ice cream ice,3
1,23,spreads,3
1,22,bread,3
1,17,hot cereal pancake mixes,3
2,13,dish detergents,12
2,4,cleaning products,3
2,4,plates bowls cups flatware,15
2,8,cat food care,3
2,15,oils vinegars,9
2,17,doughs gelatins bake mixes,9
3,13,yogurt,64
3,12,fresh herbs,12
3,7,lunch meat,2
3,14,candy chocolate,10
3,14,packaged cheese,20
3,22,doughs gelatins bake mixes,4
3,20,frozen appetizers sides,8
3,20,fresh dips tapenades,4
3,7,spices seasonings,2
3,1,eggs,2
3,13,latino foods,6
0,8,candy chocolate,21
0,1,other creams cheeses,3
0,13,preserved dips spreads,33
0,15,oils vinegars,21
0,20,frozen breakfast,6
0,19,dog food care,3
0,21,frozen appetizers sides,3
0,19,deodorants,3
1,18,canned jarred vegetables,27
1,13,frozen appetizers sides,9
1,18,grains rice dried goods,21
1,14,frozen produce,24
1,12,frozen vegan vegetarian,9
1,13,red wines,3
1,0,cream,3
1,15,prepared soups salads,15
2,4,fresh vegetables,12
2,11,lunch meat,18
2,13,condiments,24
2,7,crackers,21
2,8,spices seasonings,15
2,7,butter,3
2,9,dish detergents,3
3,7,packaged vegetables fruits,18
3,11,other,2
3,23,breakfast bakery,4
3,18,soy lactosefree,6
3,22,frozen meals,4
3,18,cream,4
3,13,tofu meat alternatives,2
0,18,fresh fruits,174
0,18,paper goods,27
0,17,baby accessories,3
0,16,bread,42
0,11,hot dogs bacon sausage,39
0,11,fresh pasta,9
0,21,tea,3
0,17,cleaning products,21
0,15,diapers wipes,3
1,13,packaged produce,18
1,21,fresh dips tapenades,9
1,13,dish detergents,9
1,13,frozen breakfast,15
1,15,baby food formula,9
1,20,paper goods,3
2,17,hot cereal pancake mixes,6
2,14,bulk grains rice dried goods,6
2,9,cat food care,6
3,19,nuts seeds dried fruit,6
3,15,frozen meals,6
3,7,missing,4
3,10,packaged vegetables fruits,38
3,12,eggs,12
3,18,other creams cheeses,4
3,10,milk,18
3,11,hot cereal pancake mixes,6
3,13,cereal,14
3,14,paper goods,8
3,20,diapers wipes,2
3,19,vitamins supplements,2
3,16,candy chocolate,4
0,8,grains rice dried goods,12
0,10,oils vinegars,36
0,13,other creams cheeses,36
0,12,cereal,18
0,9,grains rice dried goods,6
0,5,missing,3
0,19,spirits,6
0,16,shave needs,6
0,19,tea,9
0,11,packaged poultry,15
0,3,crackers,6
0,7,packaged meat,3
1,16,grains rice dried goods,12
1,12,chips pretzels,9
1,14,digestion,3
1,15,soup broth bouillon,18
1,7,lunch meat,9
1,20,eggs,6
1,13,seafood counter,3
1,14,latino foods,3
2,4,skin care,9
2,15,energy sports drinks,9
2,12,breakfast bars pastries,6
2,22,eggs,3
2,17,frozen breakfast,12
2,21,fresh herbs,3
3,14,cookies cakes,10
3,17,nuts seeds dried fruit,24
3,9,honeys syrups nectars,2
3,14,trail mix snack mix,2
3,14,muscles joints pain relief,2
3,22,fresh dips tapenades,12
3,20,tortillas flat bread,4
3,11,tea,6
0,10,pasta sauce,39
0,13,lunch meat,57
0,17,coffee,6
0,8,frozen pizza,15
0,11,deodorants,9
0,17,refrigerated pudding desserts,9
0,5,refrigerated,3
0,11,food storage,9
0,23,instant foods,6
0,6,pasta sauce,3
0,9,popcorn jerky,9
1,17,prepared meals,9
1,22,pickled goods olives,3
1,0,canned meat seafood,3
1,16,hot dogs bacon sausage,18
1,10,frozen breakfast,6
2,12,frozen meat seafood,3
2,16,juice nectars,21
2,19,soy lactosefree,24
2,11,energy granola bars,27
2,7,cereal,12
2,8,energy granola bars,30
2,10,beers coolers,9
2,16,baking supplies decor,3
2,18,trash bags liners,6
2,8,salad dressing toppings,3
2,19,fresh herbs,3
3,17,packaged poultry,6
3,23,yogurt,24
3,16,tea,2
3,16,fresh herbs,6
3,20,air fresheners candles,6
3,0,ice cream ice,2
3,13,frozen pizza,4
3,13,packaged meat,4
3,8,diapers wipes,4
0,8,ice cream ice,27
0,11,meat counter,3
0,13,fresh herbs,51
0,7,packaged vegetables fruits,39
0,7,canned meat seafood,6
0,17,protein meal replacements,3
1,13,milk,36
1,16,milk,27
1,14,diapers wipes,6
1,21,missing,3
1,21,refrigerated,33
1,12,spreads,15
1,8,soft drinks,15
1,13,pickled goods olives,3
1,15,frozen breads doughs,3
2,11,nuts seeds dried fruit,18
2,11,cream,15
2,23,cereal,6
2,23,chips pretzels,3
2,20,frozen meals,24
3,13,missing,6
3,15,cookies cakes,18
3,21,fresh herbs,2
3,17,soy lactosefree,22
3,5,cream,2
3,12,candy chocolate,10
3,13,energy sports drinks,16
0,10,bread,54
0,10,eggs,57
0,15,packaged produce,33
0,10,soy lactosefree,60
0,23,milk,12
0,16,canned meals beans,21
0,20,frozen dessert,3
0,14,frozen pizza,9
0,22,shave needs,3
1,17,frozen produce,39
1,11,poultry counter,12
1,17,yogurt,78
1,15,fresh vegetables,201
1,20,breakfast bakery,6
1,17,meat counter,9
1,8,energy granola bars,9
1,21,fruit vegetable snacks,9
1,7,popcorn jerky,3
1,9,hair care,3
2,9,ice cream ice,33
2,10,juice nectars,18
2,15,cream,12
2,18,salad dressing toppings,9
2,15,lunch meat,6
2,20,salad dressing toppings,3
3,23,frozen breakfast,2
3,17,ice cream ice,14
3,11,salad dressing toppings,2
3,14,instant foods,8
3,10,dry pasta,6
3,18,fresh dips tapenades,2
3,8,soft drinks,8
3,15,indian foods,2
3,2,packaged vegetables fruits,4
0,14,frozen produce,48
0,6,fresh fruits,63
0,14,bread,42
0,12,buns rolls,15
0,21,refrigerated pudding desserts,6
0,18,yogurt,60
0,8,cream,6
1,9,meat counter,6
1,20,spreads,6
2,14,bread,48
2,14,pickled goods olives,3
2,12,energy sports drinks,3
3,12,packaged vegetables fruits,28
3,7,instant foods,6
3,5,hot dogs bacon sausage,4
3,8,doughs gelatins bake mixes,6
3,11,soft drinks,14
3,16,missing,6
3,10,packaged produce,6
3,7,frozen meat seafood,2
3,18,food storage,2
0,18,milk,21
0,19,butter,9
0,22,cereal,18
0,17,fresh herbs,33
0,21,fresh dips tapenades,6
0,7,tortillas flat bread,6
1,9,refrigerated pudding desserts,12
1,21,refrigerated pudding desserts,12
1,17,canned meals beans,21
1,13,breakfast bakery,24
1,12,water seltzer sparkling water,45
1,23,frozen produce,3
1,9,body lotions soap,3
1,22,butter,3
1,19,instant foods,3
1,2,packaged seafood,3
2,13,nuts seeds dried fruit,18
2,15,buns rolls,6
2,18,bread,36
2,19,crackers,21
2,13,other creams cheeses,12
2,9,trail mix snack mix,9
2,17,candy chocolate,6
2,23,yogurt,6
2,17,facial care,3
2,20,fresh herbs,3
3,15,nuts seeds dried fruit,14
3,15,buns rolls,4
3,11,breakfast bakery,4
3,18,baking ingredients,8
3,15,packaged seafood,2
3,2,fresh fruits,2
3,8,spices seasonings,12
3,13,specialty cheeses,2
0,22,fresh fruits,111
0,11,spices seasonings,18
0,16,fresh herbs,39
0,14,frozen meat seafood,12
0,22,frozen produce,6
1,11,tofu meat alternatives,3
1,18,juice nectars,15
1,12,hair care,6
1,19,soy lactosefree,30
1,19,tofu meat alternatives,3
1,7,prepared meals,6
1,19,tea,15
2,10,crackers,18
2,14,soft drinks,33
2,8,frozen appetizers sides,6
2,8,mint gum,6
2,15,cat food care,3
2,18,hot dogs bacon sausage,15
2,11,seafood counter,3
3,10,soup broth bouillon,12
3,8,packaged vegetables fruits,34
3,8,other creams cheeses,8
3,10,packaged poultry,4
3,23,spreads,8
3,12,chips pretzels,16
3,15,prepared soups salads,10
3,9,baby food formula,8
3,15,cocoa drink mixes,4
0,15,nuts seeds dried fruit,30
0,5,grains rice dried goods,3
0,7,canned meals beans,15
0,19,digestion,3
0,16,tortillas flat bread,9
0,9,asian foods,33
0,23,trash bags liners,3
0,10,canned meat seafood,3
0,7,cream,9
0,11,refrigerated pudding desserts,3
0,9,missing,3
1,14,nuts seeds dried fruit,21
1,12,hot dogs bacon sausage,12
1,18,frozen pizza,21
1,17,condiments,18
1,9,baby food formula,21
1,19,canned meals beans,9
1,20,canned fruit applesauce,6
1,17,other,6
2,4,eggs,3
2,11,bulk dried fruits vegetables,3
3,10,buns rolls,6
3,17,energy granola bars,8
3,11,frozen pizza,2
3,0,soy lactosefree,4
3,6,plates bowls cups flatware,2
3,19,buns rolls,4
3,12,breakfast bars pastries,4
3,10,frozen meals,6
3,8,white wines,2
3,19,candy chocolate,4
0,11,instant foods,27
0,6,missing,3
0,14,soy lactosefree,36
0,18,coffee,15
0,14,soft drinks,27
0,18,oils vinegars,9
0,8,hot cereal pancake mixes,9
0,7,frozen appetizers sides,6
0,12,oral hygiene,3
1,10,fresh fruits,150
1,18,yogurt,69
1,22,packaged cheese,3
1,16,trail mix snack mix,12
2,16,soft drinks,9
2,11,hot dogs bacon sausage,18
2,16,missing,9
2,0,fresh vegetables,12
2,17,latino foods,3
2,19,prepared soups salads,3
2,20,oils vinegars,6
2,21,soup broth bouillon,3
2,13,baking supplies decor,3
2,8,meat counter,6
2,17,ice cream toppings,3
3,9,fruit vegetable snacks,8
3,20,water seltzer sparkling water,14
3,9,canned meat seafood,4
3,17,frozen appetizers sides,4
3,15,tea,10
3,11,nuts seeds dried fruit,8
3,22,granola,4
3,22,coffee,2
3,17,cleaning products,2
0,23,energy granola bars,12
0,15,spreads,39
0,9,juice nectars,21
0,17,pickled goods olives,15
0,17,frozen pizza,24
0,16,tea,27
0,19,energy sports drinks,6
0,16,hot cereal pancake mixes,21
0,11,specialty cheeses,6
1,21,crackers,9
1,18,frozen breakfast,9
1,7,chips pretzels,18
